Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,90019,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90019,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90019,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90019,2000 - 2499 grams,26,11/10/2023
Birth,2022,Place of Residence,90019,2500 - 2999 grams,103,11/10/2023
Birth,2022,Place of Residence,90019,3000 - 3499 grams,241,11/10/2023
Birth,2022,Place of Residence,90019,3500 - 3999 grams,129,11/10/2023
Birth,2022,Place of Residence,90019,4000 - 5999 grams,34,11/10/2023
Birth,2022,Place of Residence,90019,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,90020,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90020,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90020,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90020,2000 - 2499 grams,15,11/10/2023
Birth,2022,Place of Residence,90020,2500 - 2999 grams,42,11/10/2023
Birth,2022,Place of Residence,90020,3000 - 3499 grams,128,11/10/2023
Birth,2022,Place of Residence,90020,3500 - 3999 grams,71,11/10/2023
Birth,2022,Place of Residence,90020,4000 - 5999 grams,16,11/10/2023
Birth,2022,Place of Residence,90020,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,90021,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,90021,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,90021,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,90021,2000 - 2499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90021,2500 - 2999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90021,3000 - 3499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90021,3500 - 3999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90021,4000 - 5999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90021,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,90022,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90022,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90022,1500 - 1999 grams,14,11/10/2023
Birth,2022,Place of Residence,90022,2000 - 2499 grams,43,11/10/2023
Birth,2022,Place of Residence,90022,2500 - 2999 grams,134,11/10/2023
Birth,2022,Place of Residence,90022,3000 - 3499 grams,294,11/10/2023
Birth,2022,Place of Residence,90022,3500 - 3999 grams,167,11/10/2023
Birth,2022,Place of Residence,90022,4000 - 5999 grams,48,11/10/2023
Birth,2022,Place of Residence,90022,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,90023,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90023,1000 - 1499 grams,<11,11/10/2023
